No.,Description,Category,Energy (Kcal),Carbohydrate(g),Protein(g),Total Lipid(g),Monounsaturated Fatty Acids(g),Polyunsaturated Fatty Acids(g),Saturated Fatty Acids(g)
28094,"KEEBLER,FUDGE SHOPPE,JUMBO FUDGE STKS,VANILLA",KEEBLER,530,68.6,2.4,27.3,7.4,2.0,17.0
28096,"KEEBLER,FUDGE SHOPPE,MAGIC MIDDLES FUDGE FILLED COOKIES,ORIG",KEEBLER,521,62.5,5.0,28.2,4.8,7.8,9.9
28098,"KEEBLER,FUDGE SHOPPE,MAGIC MIDDLES FUDGE FILLED COOKIES,PNUT",KEEBLER,514,59.2,6.9,28.4,6.3,6.0,8.9
28097,"KEEBLER,FUDGE SHOPPE,MERRY MINT PATTIES,HOLIDAY",KEEBLER,528,66.7,2.9,27.7,3.2,1.0,23.3
28078,"KEEBLER,FUDGE SHOPPE,MINT CREME MIDDLES,CHOC GRAHAM COOKIES",KEEBLER,516,65.4,4.3,27.2,3.7,6.6,15.6
28082,"KEEBLER,FUDGE SHOPPE,PNUT CREME FILLED COOKIES",KEEBLER,537,57.6,7.2,31.1,6.8,6.0,16.9
28083,"KEEBLER,FUDGE SHOPPE,TRIPLE FUDGE FILLED COOKIES",KEEBLER,533,64.2,3.6,29.4,4.3,6.3,17.1
28107,"KEEBLER,GINGERBREAD MEN COOKIES,HOLIDAY",KEEBLER,444,77.9,4.9,12.8,2.7,4.5,3.9
28263,"KEEBLER,GRAHAMS,CINN CRISP",KEEBLER,430,76.3,5.9,12.2,2.9,5.7,2.7
28102,"KEEBLER,GRIPZ,CHIPS DELUXE,CHOC CHIP COOKIES,BITE-SIZE",KEEBLER,473,71.3,5.3,19.3,4.9,5.6,7.7
28103,"KEEBLER,GRIPZ,CHIPS DELUXE,RAINBOW CHOC CHIP COOKIES,BITE-SI",KEEBLER,470,74.3,4.7,17.7,4.0,5.5,7.1
28104,"KEEBLER,GRIPZ,CHOC CHIP GRAHAMS,BITE-SIZE",KEEBLER,433,75.6,7.4,12.9,3.1,4.0,4.8
28105,"KEEBLER,GRIPZ,CINN GRAHAMS,BITE-SIZE",KEEBLER,415,75.6,7.4,12.9,2.8,4.9,4.1
28108,"KEEBLER,HOLIDAY JINGLES COOKIES",KEEBLER,470,73.9,5.0,17.4,3.8,6.2,5.5
28109,"KEEBLER,ICED OATMEAL COOKIES",KEEBLER,467,69.5,6.5,18.3,4.4,6.9,5.8
18608,"KEEBLER,KEEBLER CHOC GRAHAM SELECTS",KEEBLER,465,71.8,7.1,16.6,8.431,2.201,3.15
28264,"KEEBLER,OATMEAL COOKIES",KEEBLER,478,67.7,7.1,20.1,4.9,7.5,6.3
28111,"KEEBLER,READY CRUST,CHOC PIE CRUST",KEEBLER,490,67.7,5.1,22.05,6.65,0.75,5.0
28266,"KEEBLER,READY CRUST,GRAHAM PIE CRUST (10""),RED FAT",KEEBLER,472,73.5,4.9,17.5,5.2,0.5,3.8
28112,"KEEBLER,READY CRUST,SHORTBREAD PIE CRUST",KEEBLER,502,69.1,4.4,23.1,6.9,0.5,5.1
28124,"KEEBLER,SANDIES,CASHEW SHORTBREAD COOKIES",KEEBLER,535,59.3,6.3,30.6,8.3,10.2,9.5
28125,"KEEBLER,SANDIES,CHOC CHIP & PECAN SHORTBREAD COOKIES",KEEBLER,546,59.2,5.6,32.1,8.9,10.4,10.7
28126,"KEEBLER,SANDIES,DK CHOC ALMOND SHORTBREAD COOKIES",KEEBLER,540,59.9,6.1,31.0,7.0,9.4,10.8
28127,"KEEBLER,SANDIES,PECAN SHORTBREAD COOKIES",KEEBLER,541,59.0,5.0,31.7,8.4,11.4,9.5
28128,"KEEBLER,SANDIES,PECAN SHORTBREAD COOKIES,BITE SIZE",KEEBLER,547,58.7,5.0,32.6,9.0,11.7,9.5
28129,"KEEBLER,SANDIES,PECAN SHORTBREAD COOKIES,RED FAT",KEEBLER,488,67.1,6.7,21.8,5.6,7.8,6.6
28267,"KEEBLER,SANDIES,SIMPLY SHORTBREAD COOKIES",KEEBLER,528,62.2,6.0,28.8,6.4,6.4,13.2
28130,"KEEBLER,SOFT BATCH,CHOC CHIP COOKIES",KEEBLER,477,66.2,3.6,22.1,4.7,6.8,9.0
28268,"KEEBLER,SUGAR CONES",KEEBLER,375,78.0,7.3,3.7,2.0,0.8,0.8
28131,"KEEBLER,SWT CREMES COOKIES",KEEBLER,469,71.0,4.5,19.3,6.4,1.4,6.5
28110,"KEEBLER,TOAST & PNUT BUTTER SNDWCH CRACKERS",KEEBLER,489,60.2,10.6,23.8,8.2,8.5,3.6
28133,"KEEBLER,TOASTEDS,BUTTERCRISPS CRACKERS",KEEBLER,495,65.0,5.5,23.7,5.8,13.7,4.0
28135,"KEEBLER,TOASTEDS,ONION CRACKERS",KEEBLER,479,67.7,5.7,20.6,5.0,12.0,3.4
28134,"KEEBLER,TOASTEDS,PARTY PK CRACKER ASSORTMENT",KEEBLER,483,64.4,6.5,23.0,5.8,13.1,3.8
28136,"KEEBLER,TOASTEDS,SESAME CRACKERS",KEEBLER,496,62.6,6.6,24.3,5.2,15.4,3.5
28137,"KEEBLER,TOASTEDS,WHEAT CRACKERS",KEEBLER,466,66.1,8.3,20.0,5.0,11.4,3.2
